prompt,artist,avg_entropy,min_entropy,max_entropy,predicted,correct
answer_me,keith,4.219676463,4.093412917333334,4.301667426,in-between,True
ask_me_now,chick,4.062913976333333,3.904199636,4.172048993333333,good,False
blue_monk,chick,4.198067662333333,4.109786329666666,4.352497750666667,in-between,True
brazil,chick,4.049352656,4.0010419813333336,4.186606377666667,good,False
but_beautiful,chick,4.242986452,4.1384206610000005,4.364513492333334,in-between,True
dusk_in_sandi,chick,4.208815528666666,4.087990571333333,4.4389821970000005,in-between,True
how_deep_is_the_ocean,chick,4.178017322333333,4.071190634,4.277447774666666,in-between,True
it_could_happen_to_you,chick,3.9977931643333338,3.903041361333333,4.079266314333334,good,False
jordan_trading_0,jordan,4.184271403333334,4.034817986666667,4.286885983,in-between,False
jordan_trading_1,jordan,4.144236639,4.075333093,4.218462265,in-between,False
jordan_trading_11,jordan,4.113785882999999,3.950264692333333,4.205561741666666,good,True
jordan_trading_12,jordan,4.175077045666666,4.0971733876666665,4.239319515999999,in-between,False
jordan_trading_13,jordan,4.1659551089999995,4.114165308,4.287892598,in-between,False
jordan_trading_14,jordan,4.097460494333333,3.928592536,4.174278591666667,good,True
jordan_trading_2,jordan,3.963943872,3.857388982333333,4.047461136666667,good,True
jordan_trading_3,jordan,4.098016919,3.9843368023333334,4.233219026,good,True
jordan_trading_4,jordan,3.955905646,3.803317889,4.053004127666667,good,True
jordan_trading_5,jordan,4.129564949333333,4.051719841666667,4.2380869893333335,good,True
jordan_trading_6,jordan,4.197160602,4.120523770999999,4.475607876666667,in-between,False
jordan_trading_7,jordan,4.053726176333334,3.924786922000001,4.229567152666667,good,True
jordan_trading_9,jordan,4.194218222,4.135776292666667,4.306690536333334,in-between,False
monks_dream,chick,4.209176145333333,4.155479837666667,4.336660251666667,in-between,True
oblivion,chick,4.244690208333333,4.186051362,4.349122387,in-between,True
part_vii,keith,4.315050566,4.245672630333334,4.423669942,bad,False
part_viii,keith,4.180286742,4.107661705,4.318754225,in-between,True
pt_i_royal,keith,4.2997568736666665,3.95067488,4.459012522666667,bad,False
pt_i_salle,keith,4.184689274666667,4.089856126666667,4.338357413333333,in-between,True
pt_ii_royal,keith,4.003278962333334,3.945555457,4.176013505333333,good,False
pt_ii_salle,keith,4.086532204,3.962754862,4.228341002333333,good,False
pt_iii_royal,keith,4.072405256,3.984450604,4.165141020666667,good,False
pt_iii_salle,keith,4.228137784,4.132897496,4.292043458333333,in-between,True
pt_iv_royal,keith,4.315936215333333,4.244655695666666,4.445000632,bad,False
round_midnight,chick,4.158507794666667,4.075670243333334,4.3523517243333325,in-between,True
single_note_0,unmusical,4.255368069666667,4.153181768666666,4.466004100666667,bad,True
single_note_1,unmusical,4.476237558666667,4.352324434333333,4.560478707666667,bad,True
smash_0,unmusical,4.3255148593333335,4.280893139333333,4.381859006333333,bad,True
smash_1,unmusical,4.216967341,4.148766656333334,4.513517945666667,in-between,False
smash_2,unmusical,4.338819731333333,4.189355727,4.480803009333333,bad,True
smash_3,unmusical,4.284228375666667,4.160418803,4.570656884666667,bad,True
smash_4,unmusical,4.296901752,4.1785492453333335,4.51197997,bad,True
smash_5,unmusical,4.328414283,4.204886860666666,4.475167208999999,bad,True
smash_6,unmusical,4.393272685666666,4.260508389666667,4.523885773333333,bad,True
two_note_0,unmusical,4.268384748666667,4.1798309473333335,4.414419843666667,bad,True
